"","Study_ID","Author_year","Publication_year","Country_firstAuthor","Effect_ID","Species_common","Species_Scientific","Weight_sample_g","PFAS_type","linear_total","Choice_of_9","Cooking_method","Cooking_Category","Comments_cooking","Temperature_in_Celsius","Length_cooking_time_in_s","Water","Oil","Oil_type","Volume_liquid_ml","Cohort_ID","Cohort_comment","Nc","Pooled_Nc","Unit_PFAS_conc","Mc","Mc_comment","Sc","sd","Sc_technical_biological","Ne","Pooled_Ne","Me","Me_comment","Se","Se_technical_biological","If_technical_how_many","Unit_LOD_LOQ","LOD","LOQ","Design","DataSource","Raw_data_provided","General_comments","checked"
"28","F003","Bhavsar_2014",2014,"Canada","E030","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFOS",NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",12.7,"NA",12.61,"sd","Needs validation, but probably biological",5,"Probably 5",16.45,"NA",15.63,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"29","F003","Bhavsar_2014",2014,"Canada","E031","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFDS",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.303,"NA",0.284,"sd","Needs validation, but probably biological",5,"Probably 5",0.392,"NA",0.359,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"30","F003","Bhavsar_2014",2014,"Canada","E032","Chinook salmon","Oncorhynchus tshawytscha",NA,"6:6PFPIA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.003,"NA",0.003,"sd","Needs validation, but probably biological",5,"Probably 5",0.002,"NA",0.003,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"31","F003","Bhavsar_2014",2014,"Canada","E033","Chinook salmon","Oncorhynchus tshawytscha",NA,"6:8PFPIA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C007","NA",5,"Probably 5","ng/g",0.017,"NA",0.023,"sd","Needs validation, but probably biological",5,"Probably 5",0.014,"NA",0.022,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"32","F003","Bhavsar_2014",2014,"Canada","E034","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFNA",NA,"No","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.067,"NA",0.095,"sd","Needs validation, but probably biological",5,"Probably 5",0.078,"NA",0.114,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"33","F003","Bhavsar_2014",2014,"Canada","E035","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFDA",NA,"Yes","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.156,"NA",0.197,"sd","Needs validation, but probably biological",5,"Probably 5",0.182,"NA",0.222,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"34","F003","Bhavsar_2014",2014,"Canada","E036","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFUnDA",NA,"Yes","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.186,"NA",0.225,"sd","Needs validation, but probably biological",5,"Probably 5",0.227,"NA",0.255,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"35","F003","Bhavsar_2014",2014,"Canada","E037","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFDoDA",NA,"No","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.08,"NA",0.073,"sd","Needs validation, but probably biological",5,"Probably 5",0.096,"NA",0.081,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"36","F003","Bhavsar_2014",2014,"Canada","E038","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFTrDA",NA,"No","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.215,"NA",0.183,"sd","Needs validation, but probably biological",5,"Probably 5",0.275,"NA",0.216,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"37","F003","Bhavsar_2014",2014,"Canada","E039","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFTeDA",NA,"No","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.076,"NA",0.055,"sd","Needs validation, but probably biological",5,"Probably 5",0.087,"NA",0.067,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"38","F003","Bhavsar_2014",2014,"Canada","E041","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFOS",NA,"Yes","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",12.7,"NA",12.61,"sd","Needs validation, but probably biological",5,"Probably 5",16.03,"NA",15.19,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"39","F003","Bhavsar_2014",2014,"Canada","E042","Chinook salmon","Oncorhynchus tshawytscha",NA,"PFDS",NA,"No","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.303,"NA",0.284,"sd","Needs validation, but probably biological",5,"Probably 5",0.393,"NA",0.369,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"40","F003","Bhavsar_2014",2014,"Canada","E043","Chinook salmon","Oncorhynchus tshawytscha",NA,"6:6PFPIA",NA,"No","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.003,"NA",0.003,"sd","Needs validation, but probably biological",5,"Probably 5",0.002,"NA",0.003,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"41","F003","Bhavsar_2014",2014,"Canada","E044","Chinook salmon","Oncorhynchus tshawytscha",NA,"6:8PFPIA",NA,"No","Frying","oil-based","NA",175,600,"No","Yes","Canola oil",11,"C008","NA",5,"Probably 5","ng/g",0.017,"NA",0.023,"sd","Needs validation, but probably biological",5,"Probably 5",0.013,"NA",0.022,"Needs validation, but probably biological","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"42","F003","Bhavsar_2014",2014,"Canada","E045","Common carp","Cyprinus carpio",NA,"PFNA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.092,"NA",0.03,"sd","Needs validation, but probably biological",5,"Probably 5",0.099,"NA",0.022,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"43","F003","Bhavsar_2014",2014,"Canada","E046","Common carp","Cyprinus carpio",NA,"PFDA",NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.518,"NA",0.107,"sd","Needs validation, but probably biological",5,"Probably 5",0.566,"NA",0.138,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"44","F003","Bhavsar_2014",2014,"Canada","E047","Common carp","Cyprinus carpio",NA,"PFUnDA",NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.712,"NA",0.158,"sd","Needs validation, but probably biological",5,"Probably 5",0.804,"NA",0.167,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"45","F003","Bhavsar_2014",2014,"Canada","E048","Common carp","Cyprinus carpio",NA,"PFDoDA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.989,"NA",0.317,"sd","Needs validation, but probably biological",5,"Probably 5",1.096,"NA",0.396,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"46","F003","Bhavsar_2014",2014,"Canada","E049","Common carp","Cyprinus carpio",NA,"PFTrDA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.779,"NA",0.44,"sd","Needs validation, but probably biological",5,"Probably 5",0.774,"NA",0.332,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"47","F003","Bhavsar_2014",2014,"Canada","E050","Common carp","Cyprinus carpio",NA,"PFTeDA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.951,"NA",0.647,"sd","Needs validation, but probably biological",5,"Probably 5",1.14,"NA",0.874,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"48","F003","Bhavsar_2014",2014,"Canada","E051","Common carp","Cyprinus carpio",NA,"PFHxS",NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.292,"NA",0.319,"sd","Needs validation, but probably biological",5,"Probably 5",0.341,"NA",0.391,"Probably 5","NA","ng/g","Probably <0.006","Not provided","Shared control","Table S3",NA,NA,NA
"49","F003","Bhavsar_2014",2014,"Canada","E052","Common carp","Cyprinus carpio",NA,"PFOS",NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",27.17,"NA",7.768,"sd","Needs validation, but probably biological",5,"Probably 5",30.52,"NA",9.254,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"50","F003","Bhavsar_2014",2014,"Canada","E053","Common carp","Cyprinus carpio",NA,"PFDS",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.911,"NA",0.532,"sd","Needs validation, but probably biological",5,"Probably 5",1.084,"NA",0.571,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"51","F003","Bhavsar_2014",2014,"Canada","E054","Common carp","Cyprinus carpio",NA,"6:6PFPIA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C009","NA",5,"Probably 5","ng/g",0.098,"NA",0.06,"sd","Needs validation, but probably biological",5,"Probably 5",0.105,"NA",0.06,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"52","F003","Bhavsar_2014",2014,"Canada","E055","Common carp","Cyprinus carpio",NA,"6:8PFPIA",NA,"No","Baking","oil-based","NA",200,900,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.167,"NA",0.077,"sd","Needs validation, but probably biological",5,"Probably 5",0.18,"NA",0.084,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"53","F003","Bhavsar_2014",2014,"Canada","E056","Common carp","Cyprinus carpio",NA,"PFNA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.092,"NA",0.03,"sd","Needs validation, but probably biological",5,"Probably 5",0.105,"NA",0.037,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"54","F003","Bhavsar_2014",2014,"Canada","E057","Common carp","Cyprinus carpio",NA,"PFDA",NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.518,"NA",0.107,"sd","Needs validation, but probably biological",5,"Probably 5",0.548,"NA",0.121,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"55","F003","Bhavsar_2014",2014,"Canada","E058","Common carp","Cyprinus carpio",NA,"PFUnDA",NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.712,"NA",0.158,"sd","Needs validation, but probably biological",5,"Probably 5",0.848,"NA",0.155,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"56","F003","Bhavsar_2014",2014,"Canada","E059","Common carp","Cyprinus carpio",NA,"PFDoDA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.989,"NA",0.317,"sd","Needs validation, but probably biological",5,"Probably 5",1.108,"NA",0.404,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"57","F003","Bhavsar_2014",2014,"Canada","E060","Common carp","Cyprinus carpio",NA,"PFTrDA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.779,"NA",0.44,"sd","Needs validation, but probably biological",5,"Probably 5",0.828,"NA",0.418,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"58","F003","Bhavsar_2014",2014,"Canada","E061","Common carp","Cyprinus carpio",NA,"PFTeDA",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.951,"NA",0.647,"sd","Needs validation, but probably biological",5,"Probably 5",1.115,"NA",0.769,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"59","F003","Bhavsar_2014",2014,"Canada","E062","Common carp","Cyprinus carpio",NA,"PFHxS",NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.292,"NA",0.319,"sd","Needs validation, but probably biological",5,"Probably 5",0.291,"NA",0.346,"Probably 5","NA","ng/g","Probably <0.006","Not provided","Shared control","Table S3",NA,NA,NA
"60","F003","Bhavsar_2014",2014,"Canada","E063","Common carp","Cyprinus carpio",NA,"PFOS",NA,"Yes","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",27.17,"NA",7.768,"sd","Needs validation, but probably biological",5,"Probably 5",28.37,"NA",11.99,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
"61","F003","Bhavsar_2014",2014,"Canada","E064","Common carp","Cyprinus carpio",NA,"PFDS",NA,"No","Broiling","oil-based","NA",300,600,"No","Yes","Canola oil",11,"C010","NA",5,"Probably 5","ng/g",0.911,"NA",0.532,"sd","Needs validation, but probably biological",5,"Probably 5",1.045,"NA",0.623,"Probably 5","NA","ng/g","Not provided","Not provided","Shared control","Table S3",NA,NA,NA
